Region;Site;Unit;Batch;Species;Hatchery;Lot Quality;Origin Year;Origin Month;From;To;Start Av. Wt.;End Av.Wt.;Model End Av. Wt. Act. Feed;Av. Wt. Deviation (%);Av. Wt. Before Sampl.;Model End Av. Wt. Sugg. Feed;Actual Feed;Feed Category;Supplier;Period Feed Qty;Suggested Feed Qty;Feed Deviation (%);Opening Fish No;Opening Biomass;Closing Fish No;Closing Biomass;Harvest Biomass;Given Biomass;Taken Biomass;Biomass Produced;Biomass Produced Before Sampl.;FCR Period;FCR Before Sampl.;Mortality No;Model Mortality No;Mortality Deviation (%);SFR Period (%);SFR Period (%) Before Sampl.;SGR Period (%);Max Feed Qty;Food Price;Grading;Feeding Policy;Group Tag;Vaccinated;Feeder;Feeding Rate (Kg / Hour);Fastings No;Avg. Temp.;Avg. Oxygene;Transfer - (No);Transfer + (No);Harvest (No);Sampling (No);LTD Mortality No;LTD Mortality %;LTD Econ. FCR;Period Thermal Age;Experimental;Final Harvest
Aveiro;AQUACRIA;S33B;CM1304L;Sole;Cupimar;;2013;April;22/8/2014;26/8/2014;353.26;356;354.35;0.47;355.62;353.26;LE-5;ELITE;Skretting;4.8;0;0;2699;953.45;2698;960.49;0;0;0;7.04;6.01;0.68;0.8;1;0;0;0.13;0.13;0.19;10.2;0.72;315-415;Feed Type 2015;;Unchecked;;0;0;19.93;0;0;1;0;1;280.43;11.01;2.27;39;;
Aveiro;AQUACRIA;S33C;SS1112L;Sole;Stolt Sea Farm;;2011;December;25/8/2014;26/8/2014;270;264;270.83;-2.52;271.32;270;LE-5;ELITE;Skretting;1.6;0;0;1465;395.55;1465;386.76;0;0;0;-8.79;1.93;-0.18;0.83;0;0;0;0.41;0.4;-2.25;3.1;0.72;215-315;Feed Type 2015;;Unchecked;;0;0;20.47;0;0;0;0;2;456.76;10.24;2.57;20;;YES
Aveiro;AQUACRIA;N12A;SE1210L;Sole;Safiestela;;2014;March;5/9/2014;10/9/2014;145;149.95;147.14;1.91;146.56;145;LE-3;ELITE;Skretting;8.8;0;0;3800;551;3799;569.66;0;0;0;18.66;5.78;0.47;1.52;1;0;0;0.31;0.32;0.67;8.8;0.1;120-180;Feed Type 2015;;Unchecked;;0;0;20.69;0;0;1;0;1;236.68;5.87;1.45;123;;
Aveiro;AQUACRIA;N12B;SE1211L;Sole;Safiestela;;2012;April;5/9/2014;10/9/2014;211;214.18;213.38;0.37;212.83;211;LE-3;ELITE;Skretting;7.3;0;0;2500;527.5;2494;534.16;0;0;0;6.66;3.3;1.1;2.21;6;0;0;0.28;0.28;0.3;7.3;0.1;S ;Feed Type 2015;;Unchecked;;0;0;20.69;0;0;1;0;1;210.45;7.09;3.84;123;;
Aveiro;AQUACRIA;N12C;SE1304L;Sole;Safiestela;;2014;April;5/9/2014;10/9/2014;120;123.13;121.75;1.13;121.3;120;LE-3;ELITE;Skretting;8.1;0;0;4300;516;4296;528.97;0;0;0;12.97;5.1;0.62;1.59;4;0;0;0.31;0.31;0.51;8.1;0.1;80-90;Feed Type 2015;;Unchecked;;0;0;20.69;0;0;1;0;1;60.93;1.4;1.18;123;;
Aveiro;AQUACRIA;N13A;SE1210L;Sole;Safiestela;;2014;March;5/9/2014;10/9/2014;150;152.46;152.16;0.2;151.61;150;LE-3;ELITE;Skretting;31.7;0;0;13000;1950;12990;1980.46;0;0;0;30.46;19.41;1.04;1.63;10;0;0;0.32;0.32;0.33;31.7;0.1;120-180;Feed Type 2015;;Unchecked;;0;0;20.69;0;0;2;0;1;520.66;5.4;0.84;123;;
Aveiro;AQUACRIA;N14A;SE1210L;Sole;Safiestela;;2014;March;5/9/2014;10/9/2014;148;153.67;149.95;2.48;149.48;148;LE-3;ELITE;Skretting;8.8;0;0;4000;592;3998;614.37;0;0;0;22.37;5.62;0.39;1.57;2;0;0;0.29;0.3;0.75;8.8;0.1;120-180;Feed Type 2015;;Unchecked;;0;0;20.69;0;0;1;0;1;218.11;5.18;1.2;123;;
Aveiro;AQUACRIA;N14B;SE1211L;Sole;Safiestela;;2012;April;5/9/2014;10/9/2014;215;218.45;217.19;0.58;216.68;215;LE-3;ELITE;Skretting;7.1;0;0;2650;569.75;2630;574.52;0;0;0;4.77;0.12;1.49;59.97;20;0;0;0.25;0.25;0.32;7.1;0.1;S ;Feed Type 2015;;Unchecked;;0;0;20.69;0;0;1;0;1;236.72;7.52;3.78;102;;
Aveiro;AQUACRIA;N14C;SE1304L;Sole;Safiestela;;2014;April;5/9/2014;10/9/2014;119.8;123.59;121.51;1.71;121.07;119.8;LE-3;ELITE;Skretting;8.3;0;0;4525;542.1;4521;558.75;0;0;0;16.66;5.26;0.5;1.58;4;0;0;0.3;0.3;0.62;8.3;0.1;80-90;Feed Type 2015;;Unchecked;;0;0;20.69;0;0;1;0;1;63.91;1.39;1.17;102;;
Aveiro;AQUACRIA;T01A;SE1304L;Sole;Safiestela;;2014;April;13/8/2014;29/9/2014;96.06;117;124.86;-6.3;118.58;96.06;LE-3;ELITE;Skretting;7.85;0;0;260;24.98;258;30.19;0;0;0;5.21;5.62;1.51;1.4;2;0;0;0.61;0.6;0.42;8.47;0.03;80-90;Feed Type 2015;;Unchecked;;0;0;20.34;0;0;0;0;2;5.87;2.22;1.42;895;;
